VegetableType,Distrcit,Rainfall,MaximumTemperature,MinimumTemperature, RelativeHumidity,Pressure,Extent,Production
beans,badulla,796.327,28.82,22.4,84.43,97.72,57,465
beans,badulla,1498.9885,27.59,21.43,88.34,97.6,47.3,359.3
beans,badulla,2568.564271,26.69,19.89,91.02,97.53,41.4,308
beans,badulla,1271.932671,27.91,21.72,87.66,97.62,48.9,381.2
beans,badulla,480.0540286,30.23,23.02,79.66,97.83,68.2,608.9
beans,badulla,752.2144143,28.94,22.52,84.72,97.73,58.4,478.7
beans,badulla,771.2365857,28.9,22.46,84.07,97.72,57.9,473.9
beans,badulla,619.7454571,29.42,22.74,82.71,97.77,63.4,528.1
beans,badulla,1185.537329,28.09,21.84,87.11,97.64,50.6,389.9
beans,badulla,134.0169857,33.27,24.18,66.89,98.07,125,1115.7
beans,badulla,251.7046,33.47,23.74,71.97,97.98,105.4,881.3
beans,badulla,352.4016286,31.07,23.18,76.48,97.9,85.4,661.4
beans,badulla,253.8771857,33.43,23.74,71.98,97.98,105,881.2
beans,badulla,444.2862286,30.53,23.32,78.68,97.86,75.7,646.9
beans,badulla,659.5179571,29.23,22.68,83.42,97.78,61.2,508.3
beans,badulla,818.1923143,28.77,22.37,84.98,97.71,56.8,455.3
beans,badulla,447.5069143,30.51,23.32,78.71,97.85,75.6,644.1
beans,badulla,360.1198286,30.99,23.17,76.82,97.89,85,713
beans,badulla,305.7834,31.53,23.55,74.08,97.93,94.8,785.4
beans,badulla,438.0431286,30.58,23.34,78.54,97.86,77,656.4
beans,badulla,219.4646286,34.28,23.89,71.11,98,110.3,937.5
beans,badulla,152.1399429,33.01,24.13,67.69,98.06,121.4,1056.1
beans,badulla,230.1814286,34.04,23.84,71.2,97.99,108.3,921.4
beans,badulla,536.3351714,29.93,22.91,81.09,97.8,71.6,572.1
beans,badulla,1906.096586,27.19,20.8,89.88,97.56,44.4,334.6
beans,badulla,3075.118443,26.2,19.06,89.95,97.56,43.8,331.5
beans,badulla,936.3447143,28.47,22.19,85.85,97.68,53.6,428.8
beans,badulla,1003.476471,28.37,22.11,86.41,97.67,52.8,418.1
beans,badulla,2717.242714,26.4,19.52,91.62,97.51,40.8,300.8
beans,badulla,3785.105971,25.66,18.29,90.36,97.55,43,316.7
beans,badulla,1704.726057,27.36,21.02,89.28,97.58,45.9,344.8
beans,badulla,2299.962914,26.9,20.37,93.45,97.46,36.9,272.9
beans,badulla,908.3686143,28.54,22.22,85.7,97.69,54.2,433.4
beans,badulla,1139.3553,28.12,21.9,87.03,97.65,50.9,394
beans,badulla,2467.236043,26.72,19.97,90.83,97.54,41.5,309.4
beans,badulla,2483.230886,26.7,19.97,90.85,97.53,41.5,308.9
beans,badulla,1260.0774,27.94,21.74,87.58,97.63,49.2,382.8
beans,badulla,71.6236571,32.31,24.35,64.94,98.11,137.2,1221.4
beans,badulla,2961.315971,26.23,19.17,92.18,97.5,39.1,289.8
beans,badulla,710.7252286,29.11,22.61,83.72,97.74,60.1,493.1
beans,badulla,833.1945286,28.67,22.34,85.25,97.7,55.7,450
beans,badulla,121.6180143,32.09,24.25,66.31,98.09,130.4,1128.4
beans,badulla,1204.571114,28.04,21.82,87.21,97.64,50.1,388
beans,badulla,890.5293286,28.58,22.24,85.6,97.7,54.6,435.1
beans,badulla,126.2798143,32,24.22,66.44,98.08,129.1,1124.2
beans,badulla,10.7202143,36.01,24.93,56.12,98.27,165.1,1637.7
beans,badulla,565.8687429,29.68,22.84,81.76,97.79,65.6,551.2
beans,badulla,405.5041429,30.76,23.45,78.05,97.87,80.5,741.6
beans,badulla,878.5343286,28.58,22.25,85.57,97.7,54.8,438.5
beans,badulla,978.8067571,28.41,22.15,86.06,97.68,53,424.2
beans,badulla,56.9876,32.4,24.41,64.11,98.14,141.4,1286.9
beans,badulla,865.9597429,28.6,22.29,85.42,97.7,55.3,443.1
beans,badulla,450.0521429,30.49,23.3,78.91,97.85,75.2,636.2
beans,badulla,1198.809743,28.09,21.83,87.14,97.64,50.3,389.2
beans,badulla,3456.773171,26.01,18.82,90.2,97.55,43.4,325.3
beans,badulla,727.0629429,29.01,22.57,84.52,97.74,59.3,486.9
beans,badulla,740.0418143,28.96,22.55,84.69,97.73,58.5,480
beans,badulla,551.4291571,29.78,22.89,81.3,97.79,66.8,560.3
beans,badulla,477.1097,30.31,23.03,79.52,97.84,68.6,612.9
beans,badulla,556.3289857,29.73,22.88,81.51,97.79,66.6,556.7
beans,badulla,723.7646286,29.06,22.59,83.81,97.74,59.7,490.1
beans,badulla,711.0444857,29.1,22.61,83.72,97.74,59.8,493
beans,badulla,1249.886986,27.94,21.77,87.42,97.63,49.3,383
beans,badulla,764.8288286,28.9,22.47,83.97,97.72,58,475.7
beans,badulla,1604.031586,27.51,21.27,88.65,97.59,46.6,351.9
beans,badulla,775.4774,28.89,22.45,84.08,97.72,57.7,472.6
beans,badulla,837.5767286,28.67,22.34,85.28,97.7,55.6,449.2
beans,badulla,500.4864571,30.08,22.97,80.38,97.82,73.6,594.3
beans,badulla,503.7745,30.04,22.96,80.43,97.82,73.2,588.9
beans,badulla,1837.168671,27.25,20.89,89.59,97.57,45.3,339.3
beans,badulla,621.1215143,29.41,22.74,82.74,97.77,63.4,527.5
beans,badulla,380.3259143,30.92,23.1,77.3,97.88,82.6,768.2
beans,badulla,513.8935,30.02,22.95,80.75,97.81,72.3,584.4
beans,badulla,405.9780143,30.76,23.45,78.07,97.87,80.4,740.6
beans,badulla,477.9030571,30.27,23.03,79.54,97.83,68.3,609.2
beans,badulla,518.3296714,30.02,22.94,80.76,97.81,72.3,582.5
beans,badulla,3499.270514,26,18.78,90.2,97.55,43.4,323.5
beans,badulla,499.0391,30.09,22.98,80.27,97.82,73.9,598
beans,badulla,1443.608071,27.66,21.5,88.26,97.61,47.8,366.1
beans,badulla,399.0002714,30.81,23.47,77.79,97.87,81.1,744.4
beans,badulla,450.3015286,30.47,23.3,78.94,97.85,75.2,634
beans,badulla,2155.815571,27.06,20.6,92.87,97.49,38.2,280.2
beans,badulla,867.6217143,28.6,22.27,85.46,97.7,55.2,441.6
beans,badulla,2231.312986,27.03,20.48,92.97,97.47,37.2,275.5
beans,badulla,3613.991343,25.88,18.53,90.29,97.55,43.1,319.5
beans,badulla,966.7062571,28.42,22.15,86.03,97.68,53,424.8
beans,badulla,499.1330857,30.09,22.97,80.32,97.82,73.9,597.4
beans,badulla,200.0918714,32.67,23.97,69.75,98.02,114.1,990.6
beans,badulla,267.2509,31.93,23.69,72.7,97.96,102.4,857.9
beans,badulla,453.3940286,30.47,23.29,79.05,97.85,75.1,633.6
beans,badulla,987.7879571,28.38,22.13,86.34,97.67,52.9,420.1
beans,badulla,979.5165857,28.4,22.14,86.09,97.67,52.9,423.4
beans,badulla,179.6568286,32.86,24.02,68.74,98.04,117.4,998
beans,badulla,1365.656671,27.77,21.63,88.05,97.61,48.4,373.2
beans,badulla,520.4170571,30,22.94,80.81,97.81,72.2,582
beans,badulla,637.4154857,29.33,22.73,82.95,97.79,62.6,521.7
beans,badulla,333.3266143,31.22,23.23,76.1,97.91,89.6,679.4
beans,badulla,440.6848857,30.57,23.34,78.58,97.86,76.2,651.2
beans,badulla,15.8091714,35.19,24.71,60.25,98.21,153.9,1465
beans,badulla,677.3111,29.16,22.66,83.58,97.75,60.8,504.7
beans,badulla,571.5481,29.66,22.83,81.88,97.77,65.6,547
beans,badulla,114.2156429,32.15,24.26,66.22,98.09,131.5,1140.5
beans,badulla,1037.668029,28.25,22.01,86.7,97.66,51.8,405.3
beans,badulla,1102.538971,28.15,21.95,86.89,97.65,51.3,399.4
beans,badulla,492.1871857,30.15,23,80.01,97.83,67.6,605.3
beans,badulla,735.7117857,28.97,22.56,84.59,97.73,58.8,482.1
beans,badulla,637.6893,29.32,22.71,82.96,97.78,62.5,521.4
beans,badulla,980.7073286,28.4,22.13,86.12,97.67,52.9,421.9
beans,badulla,1320.593843,27.82,21.66,87.91,97.62,48.6,377.2
beans,badulla,563.2511,29.7,22.86,81.65,97.79,66,553.2
beans,badulla,1034.734743,28.27,22.01,86.67,97.66,51.9,410.1
beans,badulla,602.7356,29.49,22.78,82.29,97.75,64.4,537.9
beans,badulla,523.1213857,29.98,22.94,80.85,97.81,72.1,579.8
beans,badulla,318.0455429,31.35,23.51,75.01,97.93,92.5,697.3
beans,badulla,197.3520571,32.69,23.97,69.56,98.03,114.3,992.2
beans,badulla,591.8296571,29.53,22.8,82.12,97.76,64.6,540.3
beans,badulla,867.5930571,28.6,22.29,85.45,97.7,55.2,441.7
beans,badulla,475.7559,30.32,23.04,79.47,97.84,68.8,615
beans,badulla,589.4119,29.58,22.8,82.08,97.76,64.8,541.4
beans,badulla,779.8562,28.88,22.43,84.25,97.72,57.5,470.5
beans,badulla,377.6878,30.92,23.11,77.25,97.88,83.3,768.6
beans,badulla,243.7383857,33.61,23.76,71.82,97.98,105.8,884.4
beans,badulla,742.8519143,28.95,22.52,84.72,97.73,58.4,479.2
beans,badulla,448.2286571,30.5,23.31,78.84,97.85,75.3,642.3
beans,badulla,439.8062714,30.58,23.34,78.55,97.86,77,655.1
beans,badulla,599.4207,29.49,22.78,82.29,97.75,64.5,538.3
beans,badulla,830.6179571,28.7,22.36,85.16,97.71,55.9,452.1
beans,badulla,3772.755414,25.71,18.29,90.35,97.55,43,318.2
beans,badulla,2570.244871,26.68,19.86,91.03,97.53,41.4,306.9
beans,badulla,626.8125143,29.36,22.73,82.83,97.77,63.2,524.2
beans,badulla,1810.957114,27.3,20.94,89.52,97.57,45.4,341.1
beans,badulla,1477.3394,27.63,21.46,88.29,97.6,47.7,363.1
beans,badulla,3240.007629,26.08,18.92,90.15,97.55,43.6,327.4
beans,badulla,2589.661714,26.66,19.85,91.15,97.53,41.3,306.4
beans,badulla,1817.470286,27.29,20.92,89.53,97.57,45.4,341.1
beans,badulla,1403.380657,27.71,21.56,88.15,97.61,48,369.7
beans,badulla,1692.974057,27.37,21.02,89.27,97.58,45.9,345
beans,badulla,737.5376571,28.96,22.55,84.68,97.73,58.6,480.9
beans,badulla,1175.628457,28.1,21.87,87.09,97.64,50.7,390.9
beans,badulla,2511.014829,26.69,19.96,90.95,97.53,41.5,308.9
beans,badulla,153.2859714,32.97,24.12,67.78,98.06,120.9,1047.8
beans,badulla,1329.371129,27.8,21.65,87.96,97.62,48.6,376.3
beans,badulla,417.6714286,30.68,23.42,78.19,97.87,79.4,735.6
beans,badulla,495.5543857,30.1,22.98,80.11,97.82,70.8,601.3
beans,badulla,3523.8667,25.94,18.76,90.23,97.55,43.3,321.5
beans,badulla,697.0456571,29.13,22.64,83.66,97.75,60.3,499.2
beans,badulla,3941.388886,25.59,18,90.42,97.54,42.8,314.8
beans,badulla,111.4749429,32.16,24.28,66.05,98.09,131.7,1146.7
beans,badulla,39.3419286,32.52,24.48,62.44,98.16,146.8,1302.7
beans,badulla,536.5848286,29.93,22.91,81.11,97.8,71.4,571.9
beans,badulla,91.8720857,32.24,24.3,65.56,98.1,133.8,1152.9
beans,badulla,496.5206857,30.09,22.98,80.2,97.82,70.6,600.2
beans,badulla,287.1487286,31.71,23.58,73.49,97.95,97.6,805.7
beans,badulla,354.9943429,31.04,23.17,76.51,97.9,85.3,716.4
beans,badulla,938.6818571,28.46,22.18,85.88,97.68,53.6,428.6
beans,badulla,1969.584929,27.17,20.78,89.93,97.56,44.2,333.8
beans,badulla,526.9361714,29.96,22.92,80.9,97.8,71.8,575.2
beans,badulla,715.1912286,29.1,22.61,83.72,97.74,59.8,492.4
beans,badulla,587.5715,29.59,22.8,82.03,97.76,64.9,542.8
beans,badulla,2693.988471,26.43,19.56,91.55,97.52,40.8,301.4
beans,badulla,413.8928,30.74,23.44,78.11,97.87,80.1,737.6
beans,badulla,478.8584286,30.23,23.02,79.63,97.83,68.3,609.2
beans,badulla,1029.472343,28.31,22.03,86.55,97.67,52.2,411.9
beans,badulla,1104.063486,28.15,21.94,86.89,97.65,51.3,399.3
beans,badulla,1006.239571,28.36,22.11,86.41,97.67,52.7,416.7
beans,badulla,768.3464714,28.9,22.47,84.04,97.72,57.9,475.2
beans,badulla,735.6062429,28.97,22.56,84.59,97.73,58.8,482.4
beans,badulla,324.7050143,31.33,23.5,75.29,97.92,91.9,690.8
beans,badulla,524.2885857,29.98,22.93,80.86,97.81,72,577.5
beans,badulla,1520.192671,27.57,21.41,88.43,97.6,47,357
beans,badulla,455.1328143,30.46,23.09,79.06,97.85,74.6,633.1
beans,badulla,435.6441286,30.59,23.35,78.52,97.86,77.3,658.6
beans,badulla,524.5630571,29.96,22.93,80.86,97.81,72,577
beans,badulla,307.5886571,31.52,23.55,74.24,97.93,94.4,783.8
beans,badulla,364.9304857,30.95,23.15,76.86,97.89,84.5,710.2
beans,badulla,214.7106714,34.3,23.89,70.88,98,110.3,939.1
beans,badulla,1537.086486,27.56,21.37,88.46,97.6,46.9,355.4
beans,badulla,1105.466914,28.14,21.93,86.91,97.65,51.3,399.2
beans,badulla,733.0929857,28.97,22.56,84.59,97.73,58.9,484.5
beans,badulla,300.6909143,31.6,23.55,73.92,97.94,95.9,788.7
beans,badulla,167.3066,32.91,24.05,68.19,98.05,118.5,1003.4
beans,badulla,1850.400614,27.25,20.88,89.65,97.57,45.3,337.9
beans,badulla,1224.9618,28.02,21.81,87.26,97.63,50,387.5
beans,badulla,1868.035943,27.21,20.87,89.73,97.57,44.9,337.3
beans,badulla,1229.360457,27.99,21.8,87.28,97.63,49.7,386.4
beans,badulla,1806.989386,27.31,20.95,89.48,97.57,45.4,341.5
beans,badulla,2100.239129,27.1,20.64,92.59,97.49,38.5,282.4
beans,badulla,1511.655057,27.57,21.41,88.41,97.6,47.2,357
beans,badulla,5202.807686,24.92,17.25,94.65,97.36,32.6,244
beans,badulla,1091.435157,28.17,21.96,86.84,97.65,51.5,401
beans,badulla,3222.745714,26.08,18.92,90.14,97.56,43.7,327.4
beans,badulla,2671.547971,26.44,19.57,91.53,97.52,41,302.2
beans,badulla,693.3193857,29.14,22.64,83.66,97.75,60.5,499.9
beans,badulla,103.2760857,32.24,24.3,65.56,98.1,133.6,1152.9
beans,badulla,1764.986857,27.35,21.01,89.31,97.58,45.7,344.7
beans,badulla,2697.064129,26.42,19.53,91.56,97.52,40.8,301.4
beans,badulla,528.8831857,29.94,22.91,80.94,97.8,71.7,574.4
beans,badulla,302.6614857,31.59,23.55,73.96,97.94,95.8,788.5
beans,badulla,590.4068571,29.54,22.8,82.12,97.76,64.7,540.8
beans,badulla,960.1756,28.44,22.16,85.96,97.68,53.3,426.1
beans,badulla,416.1685,30.73,23.43,78.14,97.87,79.9,736.7
beans,badulla,286.9639714,31.72,23.59,73.49,97.95,97.8,807.8
beans,badulla,755.5005,28.92,22.51,84.78,97.72,58.3,477.4
beans,badulla,492.4432714,30.14,23,80.04,97.83,67.6,604.7
beans,badulla,650.4766,29.28,22.7,83.2,97.78,62.2,514.5
beans,badulla,158.8854143,32.95,24.08,67.95,98.05,119.3,1028
beans,badulla,2430.3548,26.74,20.02,90.76,97.54,41.9,311.2
beans,badulla,390.7403,30.88,23.27,77.37,97.88,82,764.1
beans,badulla,611.1442429,29.46,22.76,82.39,97.75,64.3,535.7
beans,badulla,2383.895214,26.75,20.09,90.72,97.54,42.3,312.1
beans,badulla,251.3805571,33.49,23.75,71.97,97.98,105.4,881.8
beans,badulla,935.0119,28.47,22.2,85.81,97.69,53.6,429.4
beans,badulla,564.6040286,29.69,22.84,81.74,97.79,65.8,552
beans,badulla,856.8425,28.62,22.3,85.34,97.7,55.3,444.5
beans,badulla,569.1172714,29.66,22.83,81.77,97.79,65.6,549.2
beans,badulla,511.9111714,30.03,22.96,80.62,97.81,72.6,584.9
beans,badulla,1057.668214,28.21,21.97,83.21,97.78,62.1,512.7
beans,badulla,1794.8545,27.33,20.99,71.5,97.99,106.1,886.7
beans,badulla,267.2109,31.94,23.69,88.34,97.6,47.4,359.5
beans,badulla,1319.687029,27.82,21.66,72.4,97.96,103.6,870.2
beans,badulla,325.3760571,31.32,23.5,84.52,97.74,59.3,487.4
beans,badulla,900.2826857,28.55,22.22,78.27,97.87,79.3,730.9
beans,badulla,4456.309486,25.21,17.48,73.63,97.94,96.5,792.2
beans,badulla,2469.918214,26.71,19.97,73.79,97.94,96.2,790.1
beans,badulla,1773.686886,27.35,21.01,71.33,97.99,107.9,898.1
beans,badulla,468.0021429,30.32,23.04,76.29,97.9,87.1,668.4
beans,badulla,2665.430071,26.49,19.59,85.43,97.7,55.3,442.1
beans,badulla,494.3123,30.11,22.99,81.98,97.76,65.1,543
beans,badulla,570.4505571,29.66,22.83,74.52,97.93,94.3,782.6
beans,badulla,293.2244,31.62,23.56,91.4,97.52,41.2,304.6
beans,badulla,1386.657271,27.75,21.61,83.52,97.78,61,507.1
beans,badulla,519.0132714,30.01,22.94,75.77,97.92,90.4,683.2
beans,badulla,255.9834714,33.42,23.74,83.83,97.74,59.7,489.8
beans,badulla,1022.995829,28.31,22.03,71.85,97.98,105.8,883.4
beans,badulla,1092.156314,28.17,21.96,88.7,97.59,46.5,351.3
beans,badulla,1645.852171,27.43,21.16,90.26,97.55,43.3,320.8
beans,badulla,5403.863271,24.73,17.19,90.62,97.54,42.3,312.8
beans,badulla,627.4775571,29.35,22.73,91.85,97.5,40.5,295.7
beans,badulla,4856.566886,25.08,17.39,96.09,97.31,31.6,236.3
beans,badulla,2451.955714,26.72,19.98,93.12,97.47,37,274.9
beans,badulla,885.1276,28.58,22.25,88.33,97.6,47.4,359.7
beans,badulla,1146.690443,28.11,21.89,73.2,97.96,99.2,829.9
beans,badulla,3887.605129,25.6,18.12,87.45,97.63,49.2,382.8
beans,badulla,637.4254286,29.32,22.71,88.47,97.6,46.8,355.4
beans,badulla,604.2238571,29.47,22.77,89.59,97.57,45.4,340.4
beans,badulla,462.8458857,30.39,23.06,79.26,97.84,70.4,624.2
beans,badulla,732.3194714,28.97,22.56,62.15,98.17,148.1,1373.6
beans,badulla,697.3276714,29.12,22.63,87.19,97.64,50.1,388.6
beans,badulla,544.1273286,29.86,22.89,79.12,97.84,74.2,630.6
beans,badulla,267.1283,31.95,23.69,77.32,97.88,82.5,766.2
beans,badulla,845.2685286,28.65,22.32,83.12,97.78,62.2,519.1
beans,badulla,498.7830143,30.09,22.98,78.33,97.86,78.5,722.4
beans,badulla,318.3284143,31.35,23.51,74.72,97.93,93.4,779.2
beans,badulla,896.4367143,28.56,22.24,71.24,97.99,108.3,919.3
beans,badulla,1844.560757,27.25,20.88,89.6,97.57,45.3,338.3
beans,badulla,22.2892286,35.06,24.63,60.91,98.19,150.5,1457.2
beans,badulla,624.9875571,29.38,22.74,82.76,97.77,63.4,527.4
beans,badulla,42.3307286,32.5,24.44,63.79,98.14,142,1291.2
beans,badulla,12.2164286,35.55,24.93,56.37,98.27,159.4,1637.7
beans,badulla,549.6650714,29.81,22.89,81.26,97.79,66.8,562.5
beans,badulla,4968.514386,24.97,17.31,94.46,97.37,32.6,245
beans,badulla,194.8973143,32.76,23.98,69.33,98.03,116,994.5
